id1	name1	id2	name2	Contigs_k20	Proteins_k8:all	Proteins_k8:PhenTrnaSyntAlph	Proteins_k8:PolyNucl	Proteins_k8:DnaDireRnaPolyBeta3	Profile_roles.to.use	SSU_k20	ANI_chunk1020.I30,M>35	Genes_k20:all	Taxonomic
100901.6	Wolbachia endosymbiont of Onchocerca ochengi strain wOo	244204.862	uncultured Wolbachia sp. strain WOLB0877	  0.9884	  0.8606	  0.8533	  0.7756	  1.0000	  0.1032	  0.6611	  0.1581	  0.9824	  0.0078
100901.6	Wolbachia endosymbiont of Onchocerca ochengi strain wOo	244204.974	uncultured Wolbachia sp. strain WOLB0987	  0.1334	  0.1149	  0.0000	  0.0212	  1.0000	  0.0496	  0.0655	  0.0015	  0.1090	  0.0078
1026882.3	Methylophaga aminisulfidivorans MP	1768907.6	Pseudohongiella nitratireducens strain CGMCC 1.15425	  0.9995	  0.9841	  0.9015	  0.9082	  0.8804	  0.2644	  0.9270	  0.1747	  0.9997	  0.0625
1026882.3	Methylophaga aminisulfidivorans MP	2881053.3	Methylophaga sp. TMB1265	  0.9975	  0.8800	  0.8304	  0.7048	  0.5978	  0.1099	  0.6547	  0.1991	  0.9972	  0.0078
1026882.3	Methylophaga aminisulfidivorans MP	291169.3	Methylophaga muralis strain Bur 1	  0.9977	  0.8803	  0.8365	  0.7104	  0.5985	  0.0999	  0.6301	  0.2017	  0.9971	  0.0078
1026882.3	Methylophaga aminisulfidivorans MP	45496.5	Methylophaga sulfidovorans strain DSM 11578	  0.9410	  0.4609	  0.2021	  0.2279	  0.2317	  0.0357	  0.4240	  0.1179	  0.9115	  0.0078
1032480.4	Microlunatus phosphovorus NM-1	1036181.4	Friedmanniella flava strain CGMCC 4.6856	  0.9958	  0.9317	  0.8598	  0.6863	  0.5621	  0.1817	  0.6115	  0.1860	  0.9904	  0.0078
1032480.4	Microlunatus phosphovorus NM-1	2596828.3	Microlunatus sp. KUDC0627	  0.9964	  0.9461	  0.8707	  0.8056	  0.6777	  0.1897	  0.5357	  0.1928	  0.9917	  0.0078
1032480.4	Microlunatus phosphovorus NM-1	2656650.3	Auraticoccus sp. F435	  0.9961	  0.9503	  0.9020	  0.7379	  0.6719	  0.1852	  0.7236	  0.1897	  0.9905	  0.0156
1032480.4	Microlunatus phosphovorus NM-1	400768.3	Microlunatus panaciterrae strain DSM 18662	  0.9956	  0.9233	  0.8285	  0.6398	  0.5353	  0.1609	  0.5438	  0.1890	  0.9901	  0.0078
1036780.5	Bosea robiniae strain DSM 26672	1736583.3	Bosea sp. Root670	  0.5456	  0.1929	  0.0000	  0.0649	  0.0000	  0.0276	  0.0027	  0.0259	  0.4690	  0.0078
1036780.5	Bosea robiniae strain DSM 26672	1850374.10	Ancylobacter sp. TS-1	  0.9952	  0.9676	  0.8716	  0.8313	  0.7034	  0.2456	  0.7938	  0.1969	  0.9908	  0.0313
1036780.5	Bosea robiniae strain DSM 26672	1953771.15	Chelatococcus sp. strain ACE_PRO4	  0.9970	  0.9524	  0.8388	  0.8399	  0.6670	  0.1900	  0.7209	  0.1964	  0.9940	  0.0313
1036780.5	Bosea robiniae strain DSM 26672	2023338.3	Pleomorphomonas sp. SVCO-16	  0.9966	  0.9755	  0.9155	  0.9002	  0.7288	  0.2693	  0.8094	  0.2035	  0.9935	  0.0313
1041504.3	Candidatus Arthromitus sp. SFB-rat-Yit	1029718.6	Candidatus Arthromitus sp. SFB-mouse-Japan	  0.9650	  0.7151	  0.6607	  0.5469	  0.4585	  0.0216	  0.3176	  0.1368	  0.9583	  0.0078
1041504.3	Candidatus Arthromitus sp. SFB-rat-Yit	1041809.3	Candidatus Arthromitus sp. SFB-mouse-Yit	  0.9648	  0.7153	  0.6607	  0.5469	  0.4585	  0.0179	  0.3176	  0.1378	  0.9584	  0.0078
1041504.3	Candidatus Arthromitus sp. SFB-rat-Yit	1054947.3	Candidatus Arthromitus sp. SFB-co	  0.9648	  0.7291	  0.6545	  0.6429	  0.4585	  0.0318	  0.3400	  0.1374	  0.9594	  0.0078
1041504.3	Candidatus Arthromitus sp. SFB-rat-Yit	1840217.3	Candidatus Arthromitus sp. SFB-turkey	  0.9941	  0.8736	  0.8432	  0.6702	  0.5961	  0.0797	  0.7467	  0.2006	  0.9920	  0.0078
1042377.3	Alteromonas sp. S89	1769779.13	Microbulbifer aggregans strain SaN0-8	  0.9912	  0.7645	  0.4988	  0.3241	  0.4183	  0.1034	  0.4742	  0.1652	  0.9778	  0.0078
1042377.3	Alteromonas sp. S89	247639.3	marine gamma proteobacterium HTCC2080	  0.9997	  0.9759	  0.9139	  0.9006	  0.7833	  0.2384	  0.7995	  0.0881	  0.9999	  0.0313
1042377.3	Alteromonas sp. S89	260552.10	Microbulbifer agarilyticus strain DP4N21-6	  0.9218	  0.4208	  0.1269	  0.2148	  0.0865	  0.0442	  0.1108	  0.1042	  0.8727	  0.0039
1042377.3	Alteromonas sp. S89	86173.21	Microbulbifer elongatus SaN0-4	  0.9869	  0.6852	  0.3770	  0.2765	  0.2976	  0.0539	  0.3965	  0.1624	  0.9684	  0.0078
1052260.5	Klenkia soli strain DSM 45843	1052259.3	Klenkia terrae strain IHUMI-26.3	  0.9238	  0.5980	  0.3429	  0.2056	  0.1519	  0.0809	  0.3573	  0.1108	  0.8704	  0.0078
1052260.5	Klenkia soli strain DSM 45843	1550231.5	Blastococcus sp. DSM 44268	  0.9845	  0.8872	  0.8021	  0.6314	  0.4127	  0.1500	  0.5219	  0.1707	  0.9688	  0.0156
1052260.5	Klenkia soli strain DSM 45843	1871072.25	Nocardioidaceae bacterium strain TYQ2	  0.9962	  0.9783	  0.9172	  1.0000	  0.8593	  0.2016	  0.7898	  0.2094	  0.9944	  0.0625
1052260.5	Klenkia soli strain DSM 45843	2303986.3	Geodermatophilus sp. LHW52908	  0.9835	  0.8891	  0.8394	  0.6408	  0.3778	  0.1516	  0.5463	  0.1703	  0.9706	  0.0156
1054217.5	Thermoplasmatales archaeon BRNA1	1236689.6	Candidatus Methanomethylophilus alvus Mx1201	  0.9915	  0.8971	  0.8255	  0.0000	  0.0000	  0.1687	  0.6196	  0.1751	  0.9828	  0.0625
1054217.5	Thermoplasmatales archaeon BRNA1	1291540.5	Candidatus Methanomethylophilus alvus strain 271	  0.9926	  0.9172	  0.8845	  0.0000	  0.0000	  0.1966	  0.5655	  0.1868	  0.9853	  0.0625
1054217.5	Thermoplasmatales archaeon BRNA1	1291540.6	Candidatus Methanomethylophilus alvus strain MGYG-HGUT-02456	  0.9915	  0.8971	  0.8263	  0.0000	  0.0000	  0.1727	  0.6247	  0.1751	  0.9830	  0.0625
1054217.5	Thermoplasmatales archaeon BRNA1	1769296.4	Candidatus Methanomethylophilus sp. 1R26	  0.9928	  0.9258	  0.8777	  0.0000	  0.0000	  0.2287	  0.5823	  0.1875	  0.9861	  0.0625
1062.102	Rhodobacter sp. strain HK-STAS-PROT-59	1062.144	Rhodobacter sp. strain HK-STAS-PROT-59	  0.0000	  0.0013	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0007	  0.0000
1062.102	Rhodobacter sp. strain HK-STAS-PROT-59	2720031.3	Fluviibacterium sp. MJW13	  0.9961	  0.9517	  0.9145	  0.8120	  0.9794	  0.1807	  0.7476	  0.2018	  0.9932	  0.0156
1062.102	Rhodobacter sp. strain HK-STAS-PROT-59	2755041.4	Pseudogemmobacter sp. CC-YST710	  0.9976	  0.9496	  0.8347	  0.8332	  0.9779	  0.2022	  0.6857	  0.2056	  0.9960	  0.0156
1062.102	Rhodobacter sp. strain HK-STAS-PROT-59	366616.15	Haematobacter missouriensis strain CCUG 52307	  0.9976	  0.9495	  0.8465	  0.8204	  0.9844	  0.2093	  0.5632	  0.1993	  0.9959	  0.0156
106370.16	Frankia sp. CcI3	2541730.3	Frankia sp. B2	  0.1923	  0.0938	  0.0000	  0.0190	  0.0000	  0.0188	  0.0775	  0.0050	  0.0882	  0.0078
106370.16	Frankia sp. CcI3	2926031.3	Frankia sp. ACN10a	  0.9849	  0.8052	  0.6517	  0.3896	  0.2607	  0.1068	  0.3092	  0.1467	  0.9649	  0.0078
106370.16	Frankia sp. CcI3	573499.4	Frankia sp. Ea1.12 strain Framoi1121	  0.9923	  0.8837	  0.7324	  0.6235	  0.3788	  0.1602	  0.5080	  0.1632	  0.9845	  0.0078
106370.16	Frankia sp. CcI3	683315.4	Frankia sp. DC12	  0.9942	  0.9128	  0.8719	  0.6549	  0.4202	  0.1537	  0.5604	  0.1735	  0.9880	  0.0078
1076331.3	Arsenicicoccus dermatophilus DSM 25571	1121017.3	Arsenicicoccus bolidensis DSM 15745	  0.9798	  0.8219	  0.6899	  0.5401	  0.3324	  0.1020	  0.3068	  0.1587	  0.9560	  0.0078
1076331.3	Arsenicicoccus dermatophilus DSM 25571	1658671.4	Arsenicicoccus sp. oral taxon 190 strain F0371	  0.9768	  0.8093	  0.6055	  0.5272	  0.2916	  0.0899	  0.2856	  0.1565	  0.9526	  0.0078
1076331.3	Arsenicicoccus dermatophilus DSM 25571	296823.6	uncultured Dermatophilus sp. SRR15732361_bin.15_metaWRAP_v1.3_MAG	  0.9969	  0.9636	  0.9136	  0.7381	  0.6951	  0.2649	  0.8650	  0.1915	  0.9928	  0.0313
1076331.3	Arsenicicoccus dermatophilus DSM 25571	673954.3	Arsenicicoccus piscis DSM 22760	  0.9895	  0.9130	  0.8276	  0.6795	  0.4935	  0.1687	  0.4617	  0.1768	  0.9789	  0.0078
107806.10	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	1241869.3	Buchnera aphidicola (Muscaphis stroyani) strain Mst	  0.9900	  0.8930	  0.9158	  0.7643	  0.6079	  0.0653	  0.5745	  0.1876	  0.9916	  0.0039
107806.10	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	2708354.3	Buchnera aphidicola (Microlophium carnosum) strain MCAR-56B	  0.9589	  0.7672	  0.7890	  0.5401	  0.4690	  0.0297	  0.3568	  0.1353	  0.9565	  0.0039
107806.10	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	557993.3	Buchnera aphidicola (Brachycaudus cardui) strain Bca	  0.9755	  0.8272	  0.8312	  0.6590	  0.5338	  0.0293	  0.4968	  0.1625	  0.9744	  0.0039
107806.10	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	561501.4	Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum)	  0.1214	  0.0601	  0.0000	  0.0000	  0.0582	  0.0143	  0.0000	  0.0030	  0.0997	  0.0039
1081631.12	Candidatus Schneideria nysicola strain NB	1081631.13	Candidatus Schneideria nysicola strain NT	  0.2237	  0.1218	  0.1371	  0.1902	  0.0914	  0.0055	  0.0307	  0.0096	  0.1993	  0.0000
1081631.12	Candidatus Schneideria nysicola strain NB	1081631.15	Candidatus Schneideria nysicola strain NB	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000
1081631.12	Candidatus Schneideria nysicola strain NB	1081631.8	Candidatus Schneideria nysicola strain NT	  0.2237	  0.1218	  0.1371	  0.1902	  0.0914	  0.0055	  0.0307	  0.0096	  0.1993	  0.0000
1081631.12	Candidatus Schneideria nysicola strain NB	1081631.9	Candidatus Schneideria nysicola strain NB	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000
1088868.3	Commensalibacter intestini A911	2070537.4	Commensalibacter sp. ESL0284	  0.9977	  0.8825	  0.7368	  0.7662	  0.5639	  0.0655	  0.6385	  0.2078	  0.9967	  0.0078
1088868.3	Commensalibacter intestini A911	2676440.3	Commensalibacter sp. ESL0367	  0.9977	  0.8825	  0.7368	  0.7608	  0.5601	  0.0651	  0.6404	  0.2034	  0.9964	  0.0078
1088868.3	Commensalibacter intestini A911	2750980.3	Commensalibacter sp. M0402	  0.9977	  0.8826	  0.7571	  0.7672	  0.5564	  0.0656	  0.6492	  0.2048	  0.9964	  0.0078
1088868.3	Commensalibacter intestini A911	479936.3	Commensalibacter intestini strain DmL_052	  0.2962	  0.0867	  0.0879	  0.0000	  0.0000	  0.0094	  0.0678	  0.0123	  0.1812	  0.0039
1089549.3	Haloglycomyces albus DSM 45210	1076443.3	Glycomyces artemisiae strain CGMCC 4.7067	  0.9988	  0.9386	  0.7459	  0.8525	  0.6440	  0.1572	  0.6980	  0.2056	  0.9975	  0.0156
1089549.3	Haloglycomyces albus DSM 45210	2570927.3	Glycomyces sp. 18	  0.9985	  0.9369	  0.7354	  0.8408	  0.6588	  0.1650	  0.7088	  0.2026	  0.9969	  0.0156
1089549.3	Haloglycomyces albus DSM 45210	2656774.3	Glycomyces sp. NEAU-7082	  0.9987	  0.9394	  0.7527	  0.8361	  0.6456	  0.1587	  0.6889	  0.2057	  0.9972	  0.0156
1089549.3	Haloglycomyces albus DSM 45210	2811108.3	Glycomycetaceae bacterium DSM 106290	  0.9989	  0.9434	  0.8742	  0.8619	  0.7337	  0.1409	  0.7896	  0.2031	  0.9980	  0.0156
1095025.3	Demequina flava strain NBRC 105854	1536644.3	Lysinimicrobium sp. NBRC 110050	  0.9945	  0.9001	  0.7362	  0.6630	  0.6344	  0.1412	  0.5338	  0.1836	  0.9874	  0.0078
1095025.3	Demequina flava strain NBRC 105854	1570341.3	Demequina sp. NBRC 110052 strain NBRC 110052	  0.9943	  0.8904	  0.6293	  0.6497	  0.6101	  0.0982	  0.4570	  0.1822	  0.9891	  0.0078
1095025.3	Demequina flava strain NBRC 105854	431489.6	Demequina lutea strain DSM 19970	  0.9972	  0.9218	  0.8646	  0.7673	  0.6797	  0.1492	  0.6207	  0.1879	  0.9946	  0.0078
1095025.3	Demequina flava strain NBRC 105854	676202.3	Demequina globuliformis strain NBRC 106266	  0.9866	  0.7098	  0.4565	  0.3603	  0.2872	  0.0594	  0.1562	  0.1625	  0.9713	  0.0078
1104779.5	Sphingomonas sp. YJ09	1045317.3	Sphingomonas lutea strain KCTC 23642	  0.9905	  0.8551	  0.7076	  0.6484	  0.4973	  0.1194	  0.4204	  0.1811	  0.9834	  0.0078
1104779.5	Sphingomonas sp. YJ09	1268553.4	Sphingomonas kyeonggiensis strain S00224	  0.9968	  0.9581	  0.8523	  0.8575	  0.7122	  0.2464	  0.7050	  0.1967	  0.9931	  0.0078
1104779.5	Sphingomonas sp. YJ09	1736230.3	Sphingomonas sp. Leaf67	  0.9976	  0.9593	  0.8729	  0.8314	  0.7212	  0.2622	  0.7023	  0.2000	  0.9953	  0.0078
1104779.5	Sphingomonas sp. YJ09	59803.4	Sphingomonas echinoides strain BE319	  0.9976	  0.9589	  0.9044	  0.8590	  0.7037	  0.2449	  0.6793	  0.2011	  0.9953	  0.0078
111781.3	Leptolyngbya sp. PCC 7376	118675.5	Chroococcidiopsis sp. PCC 6712	  0.9996	  0.9424	  0.8624	  0.8789	  0.6989	  0.1594	  0.8239	  0.1958	  0.9995	  0.0625
111781.3	Leptolyngbya sp. PCC 7376	292563.3	Cyanobacterium stanieri PCC 7202	  0.9995	  0.9444	  0.9115	  0.8511	  0.8012	  0.1256	  0.8655	  0.1903	  0.9995	  0.0625
111781.3	Leptolyngbya sp. PCC 7376	374982.4	Synechococcus sp. PCC 73109	  0.9976	  0.8256	  0.7919	  0.6391	  0.3144	  0.0812	  0.4259	  0.1984	  0.9966	  0.0625
111781.3	Leptolyngbya sp. PCC 7376	454133.4	Limnothrix rosea IAM M-220 strain IAM M-220	  0.9903	  0.6745	  0.2737	  0.4005	  0.1755	  0.0563	  0.2130	  0.1785	  0.9828	  0.0313
1118060.3	Coriobacteriaceae bacterium phI	1472761.17	Enorma massiliensis strain An788	  0.5608	  0.2006	  0.0000	  0.0000	  0.0169	  0.0213	  0.0815	  0.0232	  0.4257	  0.0039
1118060.3	Coriobacteriaceae bacterium phI	1965651.3	Collinsella sp. An7 strain An7	  0.9904	  0.8479	  0.7024	  0.7345	  0.5853	  0.0867	  0.6433	  0.1636	  0.9812	  0.0156
1118060.3	Coriobacteriaceae bacterium phI	2292211.3	Collinsella sp. AF08-23	  0.9930	  0.8971	  0.8945	  0.7485	  0.6615	  0.1311	  0.7750	  0.1697	  0.9866	  0.0156
1118060.3	Coriobacteriaceae bacterium phI	626935.40	Collinsella tanakaei strain An368	  0.9908	  0.8739	  0.7791	  0.5835	  0.6526	  0.1105	  0.7185	  0.1680	  0.9828	  0.0156
1120956.3	Afifella pfennigii DSM 17143	1080.10	Afifella marina strain IM162	  0.9914	  0.8759	  0.6654	  0.5793	  0.5089	  0.1233	  0.3351	  0.1833	  0.9865	  0.0078
1120956.3	Afifella pfennigii DSM 17143	1909496.3	Afifella sp. JA968	  0.9915	  0.8769	  0.6578	  0.6006	  0.5089	  0.1207	  0.4822	  0.1828	  0.9864	  0.0078
1120956.3	Afifella pfennigii DSM 17143	2561934.3	Rhodoligotrophos sp. lm1	  0.9983	  0.9754	  0.8824	  0.9185	  0.7868	  0.2524	  0.7607	  0.2116	  0.9973	  0.0313
1120956.3	Afifella pfennigii DSM 17143	2800327.3	Aestuariivirga sp. YIM B02566	  0.9979	  0.9766	  0.9031	  0.9044	  0.7613	  0.2666	  0.8341	  0.2105	  0.9960	  0.0313
1120960.3	Agromyces subbeticus DSM 16689	165814.3	Agromyces aurantiacus strain DSM 14598	  0.9832	  0.8370	  0.7444	  0.5491	  0.3707	  0.0923	  0.5038	  0.1644	  0.9650	  0.0078
1120960.3	Agromyces subbeticus DSM 16689	2135464.3	Agromyces sp. OV429	  0.9783	  0.8088	  0.6413	  0.4313	  0.3974	  0.0825	  0.4718	  0.1560	  0.9557	  0.0078
1120960.3	Agromyces subbeticus DSM 16689	2781962.3	Agromyces sp. G127AT	  0.9882	  0.8798	  0.9187	  0.5463	  0.4839	  0.1125	  0.5361	  0.1704	  0.9742	  0.0078
1120960.3	Agromyces subbeticus DSM 16689	286438.3	Agromyces hippuratus strain DSM 8598	  0.9572	  0.6653	  0.4047	  0.2650	  0.2160	  0.0653	  0.4288	  0.1288	  0.9125	  0.0078
1120975.4	Alkalibacter saccharofermentans DSM 14828	2655001.3	Alkalibaculum sp. M08DMB	  0.9993	  0.9539	  0.8637	  0.9085	  0.7627	  0.2053	  0.7833	  0.1861	  0.9994	  0.0156
1120975.4	Alkalibacter saccharofermentans DSM 14828	2787712.3	Alkalibacter sp. M17DMB	  0.9975	  0.8878	  0.7198	  0.7665	  0.4985	  0.1631	  0.5789	  0.1947	  0.9958	  0.0078
1120975.4	Alkalibacter saccharofermentans DSM 14828	2815577.3	Alkalibacter sp. ES005	  0.9983	  0.9073	  0.7648	  0.8273	  0.5657	  0.1583	  0.5890	  0.1908	  0.9979	  0.0078
1120975.4	Alkalibacter saccharofermentans DSM 14828	645887.4	Alkalibaculum bacchi strain DSM 22112	  0.9993	  0.9626	  0.8598	  0.9213	  0.7898	  0.2135	  0.8428	  0.1984	  0.9992	  0.0156
1121020.3	Arthrobacter sanguinis DSM 21259	1121019.4	Arthrobacter castelli DSM 16402	  0.9989	  0.9455	  0.8487	  0.7657	  0.7185	  0.1689	  0.7479	  0.1969	  0.9977	  0.0156
1121020.3	Arthrobacter sanguinis DSM 21259	1270.162	Micrococcus luteus strain DE0113	  0.9985	  0.9583	  0.9082	  0.7815	  0.7534	  0.1428	  0.7663	  0.2012	  0.9978	  0.0156
1121020.3	Arthrobacter sanguinis DSM 21259	2306585.3	Amnibacterium sp. DD4a	  0.9992	  0.9759	  0.9187	  0.8981	  0.8571	  0.2035	  0.8343	  0.2061	  0.9989	  0.0313
1121020.3	Arthrobacter sanguinis DSM 21259	2653135.3	Citricoccus sp. K5	  0.9986	  0.9546	  0.8831	  0.7515	  0.7254	  0.1765	  0.7881	  0.1913	  0.9975	  0.0156
1121390.3	Desulfacinum hydrothermale DSM 13146 strain DSM 13146	1121391.4	Desulfacinum infernum DSM 9756	  0.9800	  0.7442	  0.6205	  0.5603	  0.4146	  0.0711	  0.7324	  0.1502	  0.9679	  0.0078
1121390.3	Desulfacinum hydrothermale DSM 13146 strain DSM 13146	39841.4	Thermodesulforhabdus norvegica strain DSM 9990	  0.9994	  0.9591	  0.9043	  0.8749	  0.8387	  0.1366	  0.8474	  0.2117	  0.9997	  0.0156
1121390.3	Desulfacinum hydrothermale DSM 13146 strain DSM 13146	610254.3	Desulfosoma caldarium strain DSM 22027	  0.9975	  0.8951	  0.7792	  0.7690	  0.6624	  0.0855	  0.6726	  0.2014	  0.9971	  0.0156
1121390.3	Desulfacinum hydrothermale DSM 13146 strain DSM 13146	980445.7	Desulfoglaeba alkanexedens ALDC	  0.9976	  0.9323	  0.8436	  0.8469	  0.7180	  0.1412	  0.6293	  0.1993	  0.9967	  0.0156
1121402.3	Desulfobulbus elongatus DSM 2908	1986146.3	Desulfobulbus sp. ORNL	  0.9979	  0.9588	  0.8499	  0.8811	  0.7547	  0.2205	  0.6881	  0.2027	  0.9966	  0.0078
1121402.3	Desulfobulbus elongatus DSM 2908	2302658.3	Candidatus Electrothrix sp. AX1	  0.9994	  0.9638	  0.8221	  0.9027	  0.8321	  0.2762	  0.7227	  0.2046	  0.9996	  0.0156
1121402.3	Desulfobulbus elongatus DSM 2908	2740163.4	Desulfobulbaceae bacterium PPLL	  0.9986	  0.9709	  0.9035	  0.9462	  0.8551	  0.2240	  0.7616	  0.2134	  0.9981	  0.0156
1121402.3	Desulfobulbus elongatus DSM 2908	34032.3	Desulfobulbus rhabdoformis strain DSM 8777	  0.9981	  0.8991	  0.6879	  0.7420	  0.6338	  0.1094	  0.5699	  0.2052	  0.9977	  0.0078
1121920.7	Geothrix fermentans DSM 14018	2052165.14	Holophagaceae bacterium strain Viby_18-Q3-R106-67_BAT3C.260	  0.9941	  0.9297	  0.8696	  0.8189	  0.6568	  0.1815	  0.6515	  0.1908	  0.9885	  0.0156
1121920.7	Geothrix fermentans DSM 14018	2922720.3	Geothrix sp. SG184	  0.9228	  0.6144	  0.4208	  0.2206	  0.1810	  0.0778	  0.2090	  0.1118	  0.8670	  0.0078
1121920.7	Geothrix fermentans DSM 14018	2922721.3	Geothrix sp. SG189	  0.9357	  0.6376	  0.4592	  0.4239	  0.2286	  0.0662	  0.1738	  0.1189	  0.8890	  0.0078
1121920.7	Geothrix fermentans DSM 14018	2922722.3	Geothrix sp. SG195	  0.9232	  0.6178	  0.3301	  0.2636	  0.1534	  0.0725	  0.1834	  0.1117	  0.8684	  0.0078
1121930.3	Gracilimonas tropica DSM 19535	1121104.3	Balneola vulgaris DSM 17893	  0.9992	  0.9136	  0.7784	  0.8432	  0.6409	  0.1548	  0.7256	  0.2195	  0.9989	  0.0156
1121930.3	Gracilimonas tropica DSM 19535	1749045.3	Gracilimonas amylolytica strain LA399	  0.9926	  0.7848	  0.4780	  0.6084	  0.3595	  0.1031	  0.5595	  0.1703	  0.9875	  0.0078
1121930.3	Gracilimonas tropica DSM 19535	1920650.3	Aliifodinibius sp. ECH52	  0.9995	  0.9508	  0.8978	  0.9017	  0.7800	  0.1507	  0.7806	  0.2035	  0.9996	  0.0156
1121930.3	Gracilimonas tropica DSM 19535	2024824.23	Balneola sp. strain HXMU1420-1	  0.9991	  0.9080	  0.7529	  0.8784	  0.6246	  0.1388	  0.7590	  0.2200	  0.9983	  0.0156
1122138.3	Kribbella catacumbae DSM 19601	1266829.3	Kribbella albertanoniae strain JCM 30547	  0.9796	  0.7807	  0.4693	  0.3961	  0.3067	  0.0823	  0.1784	  0.1549	  0.9562	  0.0078
1122138.3	Kribbella catacumbae DSM 19601	1708749.3	Tenggerimyces flavus strain DSM 28944	  0.9971	  0.9638	  0.8740	  0.8418	  0.7157	  0.1846	  0.7949	  0.1966	  0.9937	  0.0313
1122138.3	Kribbella catacumbae DSM 19601	2512212.3	Kribbella sp. VKM Ac-2575	  0.9739	  0.7276	  0.2721	  0.2921	  0.1075	  0.1051	  0.1774	  0.1450	  0.9348	  0.0078
1122138.3	Kribbella catacumbae DSM 19601	2512217.3	Kribbella sp. VKM Ac-2541	  0.9809	  0.7722	  0.3947	  0.4856	  0.3111	  0.0955	  0.2079	  0.1534	  0.9524	  0.0078
1122249.3	Mycoplasma sturni DSM 22021	1122249.5	Mycoplasma sturni DSM 22021	  0.0000	  0.0047	  0.0000	  0.0000	  0.0000	  0.0000	  0.0569	  0.0000	  0.0047	  0.0000
1122249.3	Mycoplasma sturni DSM 22021	1448135.3	Mycoplasma leonicaptivi ATCC 49890	  0.9962	  0.9300	  0.8585	  0.0000	  0.8623	  0.1007	  0.7885	  0.1831	  0.9930	  0.0156
1122249.3	Mycoplasma sturni DSM 22021	171279.13	Mycoplasma anatis strain LH07	  0.9967	  0.9394	  0.8811	  0.0000	  0.8637	  0.1402	  0.7475	  0.1964	  0.9939	  0.0078
1122249.3	Mycoplasma sturni DSM 22021	519450.43	Mycoplasma anserisalpingitidis MA271	  0.9966	  0.9381	  0.8930	  0.0000	  0.8616	  0.1161	  0.7610	  0.1821	  0.9945	  0.0156
1123013.3	Pseudoclavibacter soli DSM 23366	1564493.3	Pseudoclavibacter sp. CFCC 11306	  0.9933	  0.8708	  0.7374	  0.6730	  0.5784	  0.0977	  0.6238	  0.1771	  0.9883	  0.0078
